px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
135.054	15.0486	3.72643	0.00757333	-0.199392	135.074	15.0475	135.066	15.2513	2.58865	0.863795	21570.6
135.035	15.0321	3.01096	-0.0768562	-0.304312	135.127	14.6575	135.066	15.2513	2.58865	0.863795	166403
137.56	16.1983	2.82547	0.614017	0.32841	137.561	16.2147	137.639	16.1592	2.61821	0.974442	16162.1
137.591	16.194	3.22942	0.537644	0.222373	137.653	16.5145	137.639	16.1592	2.61821	0.974442	171713
140.323	17.0146	3.19818	0.208625	-0.138969	140.331	17.008	140.242	17.1733	2.63994	1.07503	23293.5
140.325	17.0113	3.08377	0.211269	-0.130565	140.305	17.5379	140.242	17.1733	2.63994	1.07503	181143
142.887	17.987	3.25094	0.377884	0.0595292	142.888	17.9918	142.868	18.2829	2.65497	1.16346	17966.4
142.838	17.9818	3.11421	0.388303	0.0737697	142.626	18.1458	142.868	18.2829	2.65497	1.16346	185117
145.385	19.1603	3.47168	0.41032	0.0399204	145.392	19.1617	145.51	19.4754	2.66445	1.23795	24299.5
145.456	19.1709	3.30251	0.430985	0.10083	145.789	19.3785	145.51	19.4754	2.66445	1.23795	195242
148.24	20.4733	3.8416	0.402632	0.0171837	148.251	20.4754	148.163	20.7364	2.66951	1.29702	25368.9
148.21	20.4701	3.28993	0.483099	0.170095	148.146	20.9376	148.163	20.7364	2.66951	1.29702	202130
150.679	22.1116	3.66289	0.6207	0.148205	150.686	22.1142	150.825	22.0502	2.67111	1.33953	25324.7
150.663	22.1095	3.59309	0.637898	0.177304	150.649	21.8148	150.825	22.0502	2.67111	1.33953	209176
153.416	23.4951	3.49402	0.400965	-0.0857641	153.422	23.4909	153.491	23.3999	2.66999	1.3647	26580
153.394	23.4849	3.2033	0.461154	0.00712425	153.466	22.9115	153.491	23.3999	2.66999	1.3647	217659
156.039	24.8067	3.60246	0.407508	-0.0321905	156.047	24.8084	156.159	24.7682	2.66666	1.37208	27694.3
156.021	24.8052	3.07918	0.461898	0.0799734	156.009	25.0678	156.159	24.7682	2.66666	1.37208	225203
158.888	26.0278	3.92471	0.314226	-0.0675183	158.905	26.0308	158.827	26.1372	2.66127	1.36157	29820.8
158.894	26.0259	3.42374	0.345033	0.0101021	159.014	26.1903	158.827	26.1372	2.66127	1.36157	234550
161.412	27.4233	3.47834	0.527286	0.119293	161.412	27.4256	161.493	27.4891	2.65371	1.33344	24708.8
